"filename", "language", "C#", "JSON", "Markdown", "CSS", "JavaScript", "ASP.NET Razor", "XML", "comment", "blank", "total"
"d:\codes\HotelManagementSystem\Pages\Identity\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"d:\codes\HotelManagementSystem\Pages\Identity\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\codes\HotelManagementSystem\Pages\Identity\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"d:\codes\HotelManagementSystem\Pages\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\codes\HotelManagementSystem\Pages\Index.cshtml.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\codes\HotelManagementSystem\Pages\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\codes\HotelManagementSystem\Pages\Privacy.cshtml.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\codes\HotelManagementSystem\Pages\Rooms\Create.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\codes\HotelManagementSystem\Pages\Rooms\New.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"d:\codes\HotelManagementSystem\Pages\Rooms\Rooms.cshtml.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\codes\HotelManagementSystem\Pages\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 79, 0, 0, 9, 88
"d:\codes\HotelManagementSystem\Pages\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 2, 9, 49
"d:\codes\HotelManagementSystem\Pages\Shared\_LoginPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\codes\HotelManagementSystem\Pages\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\codes\HotelManagementSystem\Pages\Stuff.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\codes\HotelManagementSystem\Pages\Stuff.cshtml.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\codes\HotelManagementSystem\Pages\Tables\BillsTable.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 59, 0, 0, 2, 61
"d:\codes\HotelManagementSystem\Pages\Tables\ClassesTable.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"d:\codes\HotelManagementSystem\Pages\Tables\ClientsTable.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"d:\codes\HotelManagementSystem\Pages\Tables\RoomsTable.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"d:\codes\HotelManagementSystem\Pages\Tables\StuffTable.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\codes\HotelManagementSystem\Pages\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\codes\HotelManagementSystem\Pages\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\codes\HotelManagementSystem\Program.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 4, 15, 48
"d:\codes\HotelManagementSystem\Properties\launchSettings.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"d:\codes\HotelManagementSystem\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\codes\HotelManagementSystem\UserContext.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 4, 6, 30
"d:\codes\HotelManagementSystem\appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\codes\HotelManagementSystem\appsettings.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\codes\HotelManagementSystem\wwwroot\css\site.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\codes\HotelManagementSystem\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "CSS", 0, 0, 0, 3855, 0, 0, 0, 7, 1135, 4997
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 3855, 0, 0, 0, 7, 1134, 4996
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 347, 0, 0, 0, 16, 64, 427
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 353, 0, 0, 0, 8, 63, 424
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 3729, 0, 0, 0, 9, 1128, 4866
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 3725, 0, 0, 0, 7, 1125, 4857
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "CSS", 0, 0, 0, 9453, 0, 0, 0, 27, 1741, 11221
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 9455, 0, 0, 0, 7, 1735, 11197
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 4846, 0, 0, 584, 1351, 6781
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 3418, 0, 0, 495, 1065, 4978
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3457, 0, 0, 501, 1069, 5027
"d:\codes\HotelManagementSystem\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.js", "JavaScript", 0, 0, 0, 0, 306, 0, 0, 76, 54, 436
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation\LICENSE.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation\dist\additional-methods.js", "JavaScript", 0, 0, 0, 0, 867, 0, 0, 443, 202, 1512
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation\dist\additional-methods.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 3, 0, 4
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation\dist\jquery.validate.js", "JavaScript", 0, 0, 0, 0, 1228, 0, 0, 189, 244, 1661
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 3, 0, 4
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery\dist\jquery.js", "JavaScript", 0, 0, 0, 0, 6895, 0, 0, 1911, 2076, 10882
"d:\codes\HotelManagementSystem\wwwroot\lib\jquery\dist\jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"Total", "-", 2855, 61, 19, 34838, 21024, 789, 32, 4425, 15024, 79067
